id,name,website,phone,country
1,Acme Corp,hyperionrobotics.com,321-654-987,Netherlands
2,Beta Solutions,argonconsulting.com,999-888-777,India
3,Gamma Enterprises,summitsoftware.com,123-456-789,
4,Delta Industries,aegissecurity.com,555-4321,Canada
5,Epsilon Innovations,solarisinnovations.com,123-456-789,India
6,Zeta Systems,gammaenterprises.com,,Spain
7,Theta Technologies,,,France
8,Lambda Services,omicronnetworks.com,987-654-321,Netherlands
9,Omicron Networks,lambdaservices.com,,India
10,Sigma Ventures,synthetixlabs.com,987-654-321,Netherlands
11,Apollo Inc,gammaenterprises.com,999-888-777,India
12,Orion Consulting,nexussoftware.com,123-456-789,Brazil
13,Vega Tech,betasolutions.com,999-888-777,Germany
14,Nova Solutions,thetatechnologies.com,321-654-987,
15,Zenith Ltd,neonai.com,555-4321,Germany
16,Pioneer Digital,orionconsulting.com,123-456-789,Canada
17,Summit Software,titanlogistics.com,987-654-321,
18,Horizon Group,axonresearch.com,999-888-777,USA
19,Nebula Technologies,cosmosdata.com,123-456-789,Netherlands
20,Stellar IT,summitsoftware.com,777-666-555,
21,Terra Engineering,,999-888-777,Germany
22,Quantum Computing,stellarit.com,123-456-789,India
23,Titan Logistics,vertexsystems.com,777-666-555,Brazil
24,Aegis Security,phantomsoftware.com,555-555-555,
25,Atlas AI,omnicloud.com,777-666-555,
26,Hyperion Robotics,summitsoftware.com,123-456-789,
27,Echo Cloud,glaciersystems.com,555-555-555,USA
28,Fusion Data,omnicloud.com,999-888-777,USA
29,Vertex Systems,thetatechnologies.com,555-4321,Germany
30,Nimbus AI,betasolutions.com,123-456-789,USA
31,Argon Consulting,solarisinnovations.com,777-666-555,USA
32,Pulse Solutions,vertexsystems.com,,
33,Solaris Innovations,stratostechnologies.com,999-888-777,India
34,Nexus Software,thetatechnologies.com,987-654-321,Spain
35,Stratos Technologies,novasolutions.com,123-456-789,
36,Celestial Networks,hyperionrobotics.com,999-888-777,Spain
37,Helios Energy,pulsesolutions.com,,USA
38,Vertex Cyber,nexussoftware.com,,USA
39,Axon Research,axonresearch.com,777-666-555,Canada
40,Synthetix Labs,solarisinnovations.com,555-4321,
41,Mirage Solutions,,555-555-555,India
42,Spectrum IT,omnicloud.com,123-456-789,
43,OmniCloud,,987-654-321,India
44,Cipher Tech,quantumcomputing.com,999-888-777,
45,Cosmos Data,zenithltd.com,999-888-777,
46,Glacier Systems,ciphertech.com,555-555-555,France
47,Neon AI,acmecorp.com,,
48,Catalyst Digital,vegatech.com,999-888-777,UK
49,Enigma Security,titanlogistics.com,987-654-321,UK
50,Phantom Software,cosmosdata.com,321-654-987,Netherlands
